legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
MSO_b1f11i1,msob1f11i1,mso,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f011i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f011i001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/pdf/msob1f11i1.pdf,Black awareness week '73 at Iowa State University,https://n2t.net/ark:/87292/w9pz51s4q,,,RS 22/3,Iowa State University. Student Organizations - Multicultural Organizations records,https://n2t.net/ark:/87292/w9tj89,,"Black Awareness Week, 1973_1975, undated",1,11,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,Schedule of events laid out for the week's celebration.,,eng,1970s,,,,,College students--Societies and clubs;African Americans;Black people,http://id.worldcat.org/fast/868054;http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880,,,,,,3 pages,,,brochures,http://vocab.getty.edu/aat/300248280,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1973_04-02/1973_04-07,2022-02-21,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f11i1_1,msob1f11i1c1,mso,child,msob1f11i1,1,RS022-033b001f011i001.tif,rs022-033b001f011i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f011i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f011i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f011i001_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f11i1c1.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f11i1c1.txt,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f11i1_2,msob1f11i1c2,mso,child,msob1f11i1,2,RS022-033b001f011i002_tif,rs022-033b001f011i002_jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f011i002_jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f011i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f011i002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f11i1c2_txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f11i1c2_txt,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f11i1_3,msob1f11i1c3,mso,child,msob1f11i1,3,RS022-033b001f011i003_tif,rs022-033b001f011i003_jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f011i003_jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f011i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f011i003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f11i1c3_txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f11i1c3_txt,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f11i2,msob1f11i2,mso,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f011i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f011i004_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/pdf/msob1f11i2_pdf,Négritude...,https://n2t.net/ark:/87292/w9k649z9s,,,RS 22/3,Iowa State University. Student Organizations - Multicultural Organizations records,https://n2t.net/ark:/87292/w9tj89,,"Black Awareness Week, 1973_1975, undated",1,11,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Black Cultural Center,,,,,,,,,,"Announcement for the appearance of Léon Damas's lecture ""Négritude"" during Black Awareness Week.",,eng,1970s,"Damas, Léon-Gontran, 1912-1978",http://id.loc.gov/authorities/names/n82253217,,,Lectures and lecturing;Negritude (Literary movement),http://id.worldcat.org/fast/995281;http://id.worldcat.org/fast/1035590,,,,,,1 page,,,fliers (printed matter),http://vocab.getty.edu/aat/300224742,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,2022-02-21,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f11i2_1,msob1f11i2c1,mso,child,msob1f11i2,1,RS022-033b001f011i004.tif,rs022-033b001f011i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f011i004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f011i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f011i004_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f11i2c1.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f11i2c1.txt,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f12i1,msob1f12i1,mso,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f012i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f012i001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/pdf/msob1f12i1.pdf,Black history week: towards a united state of mind,https://n2t.net/ark:/87292/w9ff3m552,,,RS 22/3,Iowa State University. Student Organizations - Multicultural Organizations records,https://n2t.net/ark:/87292/w9tj89,,"Black History Week, 1971-1994",1,12,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Black Cultural Center,,,,,,,,,,"Program for Black History Week titled ""Towards a United State of Mind"" and schedule of events.",,eng,1970s,,,,,Black History Week,http://id.worldcat.org/fast/1738687,,,42_02686448,-93_64584006,,4 pages,,,printed ephemera,http://vocab.getty.edu/aat/300264821,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1974-02-04/1974-02-08,2022-02-21,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f12i1_1,msob1f12i1c1,mso,child,msob1f12i1,1,RS022-033b001f012i001.tif,rs022-033b001f012i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f012i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f012i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f012i001_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f12i1c1.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f12i1c1.txt,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f12i1_2,msob1f12i1c2,mso,child,msob1f12i1,2,RS022-033b001f012i002_tif,rs022-033b001f012i002_jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f012i002_jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f012i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f012i002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f12i1c2_txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f12i1c2_txt,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f12i1_3,msob1f12i1c3,mso,child,msob1f12i1,3,RS022-033b001f012i003_tif,rs022-033b001f012i003_jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f012i003_jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f012i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f012i003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f12i1c3_txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f12i1c3_txt,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
